NAME,PRICE
액티베이트 스몰 60p (종합 영양제),78000.0
(SS) 덴티페어리 디스펜서 584g - 124p,35000.0
미니파이케어 라이스(신장관리) 10개입,13500.0
사이노퀸 스몰 캡슐 30p (관절 영양제),37000.0
뉴알엑스 02제주말고기져키 60g,5000.0
사이노퀸 스몰 타블릿 30p (관절 영양제),37000.0
촉촉사료 처방사료 신장 700g / 오일미포함,29400.0
뉴알엑스 04제주말고기큐브 60g,5000.0
디어니스트키친 파테 원팟스튜 연어&치킨 298g,6500.0
(S) 덴티페어리 디스펜서 584g - 80p,35000.0
뉴알엑스 03제주말고기스틱 60g,5000.0
디어니스트키친 붓처블락 파테 치킨&수퍼그린 298g,6500.0
딜라잇 low protein 스틱 (14g x 15개입) 신장/신부전 영양 간식,30000.0
CET 이중효소 치약 닭고기맛 70g,20000.0
미니파이케어 파인(췌장관리) 10개입,13500.0
뉴알엑스 진짜비프져키 120g,5500.0
진정성 TF 타히보 후코이단 강아지 고양이 종양 영양제,40000.0
새밀린 스몰 타블릿 30p (간 영양제),86000.0
진정성 TE 트리플 엔자임 강아지 고양이 췌장 영양제,36000.0
지위픽 독 캔식품 소고기 390G,9800.0
라이펙스 60캡슐 (췌장 효소 보조제),135000.0
뉴알엑스 산양글루코사민스틱 100g,6000.0
뉴알엑스 후코이단 사슴스틱 100g,5000.0
뉴알엑스 진짜오리져키 120g,5500.0
별자리스틱 올인원(멀티/관절/신장/눈) 15g x 4p,4000.0
딜라잇 low fat 스틱 (14g x 15개입) 췌장/췌장염 영양 간식,30000.0
진정성 SG 실리마린 글루타치온 강아지 고양이 간 영양제,33000.0
질켄 75mg (30캡슐),35000.0
스토맥스 소화촉진 장건강 영양제 63g,42000.0
뉴알엑스 후코이단 치즈치킨칩 100g,5000.0
미니파이케어 리브(간건강) 10개입,13500.0
디어니스트키친 펌킨 포얼오버스 연어&호박스튜 156g,4000.0
촉촉사료 처방사료 시니어 1kg / 오일미포함,39800.0
사메탑 60정 (간 영양제),58000.0
"[샘플] 진정성 5종(TF, TE, SG, LZ, LG)",6000.0
스타터프리미엄 (닭&칠면조) 1kg,43900.0
진정성 LZ 루테인 지아잔틴 강아지 고양이 눈 영양제,33000.0
(L) 덴티페어리 디스펜서584g - 32p,35000.0
파이보 500g,44000.0
데일리케얼 리얼 rTG 오메가3 플러스 60정,29900.0
조공 rTG 퓨어 오메가-3 (90캡슐),16000.0
촉촉사료 버라이어티팩 700g,24200.0
촉촉사료 처방사료 신장 1kg / 오일미포함,39800.0
데일리케얼 리얼 알티지 오메가3 180캡슐,42800.0
디어니스트키친 펌킨 포얼오버스 터키&호박스튜 156g,4000.0
(M) 덴티페어리 디스펜서584g -46p,35000.0
글루코사민 관절 영양 보충제 100g,42000.0
지위픽 에어드라이 소고기 독 1KG,86000.0
별자리스틱 신장 건강 15g x 4p,4000.0
뉴알엑스 진짜사슴져키 120g,5500.0
진정성 LG 락티움 가바 강아지 고양이 행동 영양제,33000.0
플라그오프 바이트 60g,18000.0
닥터트러스티 하이포알러제닉(알러지) 동결건조 패티 스타터 (9g),5000.0
오느루 매일 급여 오리&야채 식사(50g*4EA),19000.0
미니파이 멀티팩 10개입,13000.0
미니파이케어 퓨어(담낭슬러지제거) 10개입,13500.0
별자리스틱 눈 건강 15g x 4p,4000.0
조공 rTG 레드 오메가-3 mini 통 (120캡슐),29500.0
지위픽 스팀드라이 소고기&호박 독 800G,53000.0
벳액티브8 신바이오틱 부스트 유산균 150g,49900.0
덕앤램 (오리&양) 1kg,59500.0
액티베이트 미디움&라지브리드 60p (종합 영양제),98000.0
룰루키친 램(양) 250G / 1KG,13000.0
미니파이케어 클램(당뇨) 10개입,13500.0
미니파이케어 웨이트(다이어트) 10개입,13500.0
[유통기한 임박 할인] 닥터퓌레 유리너리케어 방광/요로 영양제 14p (유통기한 6개월 이상),22000.0
촉촉사료 처방사료 심장 1kg,37700.0
"조공 이지케어 이너프 (올인원, 종합영양)",14900.0
하루조이 행소행댕 펫밀크 100ml (10개입),18000.0
지위픽 독 캔식품 사슴고기 390G,15000.0
이노캡스 LZ-13 60p (눈 영양제),33000.0
페노비스 벳 코엔자임Q10 심장 영양제 30캡슐,49900.0
조공 보타닉 항산화제 (60캡슐),38000.0
웰케어 테라겔 DOG,30000.0
지위픽 에어드라이 트라이프&양고기 독 1KG,86000.0
미니파이케어 하트(심장) 10개입,13500.0
[유통기한 임박 할인] 뉴알엑스 피부건강껌 10P 100g (유통기한 6개월 이상),6000.0
별자리스틱 심장 건강 15g x 4p,4000.0
힐스 독 처방사료 h/d 1.5kg 심혈관,36900.0
로즈힙 바이탈 케이나인 150g / 500g,39500.0
힐스 독 처방사료 c/d 3.85kg 방광결석,85900.0
가니쉬 동결건조 야채믹스 50g,21500.0
유리네이드 60정,89000.0
아더마스 피쉬볼 고등어 (180g),14000.0
미니파이케어 마우스(구강) 10개입,13500.0
디어니스트키친 펌킨 포얼오버스 치킨&호박스튜 156g,4000.0
프로덴 플라그오프 미니 덴탈케어본 (혼합야채&블루베리),35000.0
디어니스트키친 클러스터 홀그레인 치킨&오트 2.27kg,55000.0
스텔라앤츄이스 동결건조 터키 디너패티 397g,64000.0
디어니스트키친 탈수건조 그레인프리 LID 칠면조 1.81kg,120000.0
디어니스트키친 클러스터 그레인프리 스몰브리드 치킨 1.81kg,64000.0
(샘플) 딜라잇 low fat / low protein 스틱 샘플 (14g x 2개),2800.0
별자리스틱 멀티 비타민 15g x 4p,4000.0
미니파이케어 브레스(호흡기) 10개입,13500.0
[유통기한 임박 할인] 더텐소프트 인섹트&알러지 반건조 사료 1kg (26/02/09까지),24000.0
프리미엄 치킨(닭 단일) 1kg (100g×10팩),39900.0
벳액티브8 엔엠엔 포르테 60캡슐,66000.0
데일리케얼 리얼 루테인 눈 영양제 120g,29900.0
디어니스트키친 클러스터 홀그레인 스몰브리드 치킨&오트 1.81kg,55000.0
디어니스트키친 탈수건조 그레인프리 LID 피쉬 1.81kg,130000.0
아투 독 연어 1.5kg,42000.0
[유통기한 임박 할인]  코텍스 리퀴드 펌프 65ml (피부 영양제) (25/11/21까지),54000.0
CET 이중효소 치약 말트맛 70g,19000.0
나투라다이어트 리듀스드(-20%칼로리) 3kg/12kg,52000.0
조공 리뉴얼 헤어볼과 식이섬유 (30스틱),12000.0
조공 이지케어 릴리프 (스트레스 케어),14900.0
오느루 매일 급여 닭&야채 식사(50g*4EA),16000.0
미니파이케어 릴렉스(스트레스) 10개입,13500.0
[유통기한 임박 할인] 조인트 2.0 60g (유통기한 6개월 이상),32000.0
그리니즈 티니340g,26000.0
미트팡 관절&근육 소고기&돼지고기 80g,3900.0
프리미엄 비프(소 단일) (100g×10팩),53900.0
가니쉬 동결건조 초록입홍합 50g,23900.0
마이베프 생유베리마치 펫밀크 200ml (10개입),30000.0
아더마스 플랫져키 사슴 (100g),20500.0
아더마스 플랫져키 캥거루 (100g),17000.0
동결건조 포크 패티 350g,82200.0
동결건조 비프 패티 350g,86100.0
아투 독 오리 1.5kg,44000.0
지위픽 에어드라이 고등어&양고기 독 1KG,94000.0
